//CEID,Name,Remark,SystemID
230,CMS_ReadyToUnloadToTransferBlocked,(E87-LoadPortEvent) The Load Port transits from READY TO UNLOAD to TRANSFER BLOCKED(Send by AP),230
231,CMS_TransferBlockedToReadyToLoad,(E87-LoadPortEvent) The Load Port transits from TRANSFER BLOCKED to READY TO LOAD(Send by AP),231
232,CMS_TransferBlockedToReadyToUnload,(E87-LoadPortEvent) The Load Port transits from TRANSFER BLOCKED to READY TO UNLOAD(Send by AP),232
233,CMS_TransferBlockedToTransferReady,(E87-LoadPortEvent) The Load Port transits from TRANSFER BLOCKED to TRANSFER READY(Send by AP),233
241,CMS_NoStateToNotReserved,(E87-LoadPortReservation) The Load Port Reservation from not state to NOT RESERVED state(Send by AP),241
242,CMS_NotReservedToReserved,(E87-LoadPortReservation) The Load Port Reservation from NOT RESERVED state to RESERVED state(Send by AP),242
243,CMS_ReservedToNotReserved,(E87-LoadPortReservation) The Load Port Reservation from RESERVED state to NOT RESERVED state(Send by AP),243
251,CMS_NoStateToNotAssociated,(E87-LoadPortOrCarrierAssociation) The LoadPort Carrier Association from not state to NOT ASSOCIATED state(Send by AP),251
252,CMS_NotAssociatedToAssociated,(E87-LoadPortOrCarrierAssociation) The LoadPort Carrier Association from NOT ASSOCIATED to ASSOCIATED state(Send by AP),252
253,CMS_AssociatedToNotAssociated,(E87-LoadPortOrCarrierAssociation) The LoadPort Carrier Association from ASSOCIATED to NOT ASSOCIATED state(Send by AP),253
254,CMS_AssociatedToAssociated,(E87-LoadPortOrCarrierAssociation) The LoadPort Carrier Association from ASSOCIATED to ASSOCIATED state(Send by AP),254
